BAE,Industri,Email,Fax,Papan_Pencatatan,Telepon
PT. Adimitra Jasa Korpora,Media,corsec@mahakax.com,(021) 573 9210,Pengembangan,(021) 573 9203
PT. Raya Saham Registra,Asuransi,contactus@abda.co.id,5140 1698 ,Pengembangan,5140 1688
PT. Datindo Entrycom,Perusahaan Holding Multi-sektor,corporate.secretary@abm-investama.co.id,021-29976768,Utama,021-29976767
PT. EDI Indonesia,Ritel Khusus,	toto@acehardware.co.id,	021 - 5824022,Utama,	021 - 5822222
PT. Sinartama Gunita,Konstruksi Bangunan,corporate.secretary@acset.co,(021) 3441413,Utama,(021) 3511961
PT. Raya Saham Registra,Minuman,wisnu.adji@akashainternational.com,021 - 78845549,78845547,Pengembangan
PT. Datindo Entrycom,Barang Kimia,corporate@polychemindo.com,(62-21) 57945832-34,Utama,(62-21) 5744848
PT. Ficomindo Buana Registrar,Batu Bara,corsec@adarominerals.id,(021) 2553 3059,Pengembangan,(021) 2553 3060
PT. Ficomindo Buana Registrar,Batu Bara,mahardika.putranto@adaro.com , aditya.sudjono@adaro.com ,021-5211266 ,Utama
PT. Sharestar Indonesia,Produk Makanan Pertanian,admin@asiamina.com,(021) 21192523,Pengembangan,(021) 21192523
PT. Adimitra Jasa Korpora,Bank,corsec@ibk.co.id,+62 21 5790 6888,Pengembangan,+62 21 5790 8888
PT. Datindo Entrycom,Asuransi,harta@asuransi-harta.co.id,5727589,Pengembangan,5702060
PT. Sinartama Gunita,Batu Bara,corporate@aims.co.id,(021) 7392909,Pengembangan,(021) 7221279
PT. Adimitra Jasa Korpora,Pariwisata & Rekreasi,info@kagumgroup.com,022-2035013,Pengembangan,022-2035013
PT. Raya Saham Registra,Logam & Mineral,corsec@ai.alakasa.co.id,(021)4603574, (021)4608856,Pengembangan
PT. Adimitra Jasa Korpora,Logam & Mineral,cs@alumindo.com,"+62-31-3533055, 3533218",Pengembangan,"+62-31-3531445, 3541040"
PT. Adimitra Jasa Korpora,Minuman,corsec@ALTOspringswater.com ,(0266) 731 319 dan (021) 5301 620 ,Utama,(0266) 735 813 dan (021) 5300 689
PT. Raya Saham Registra,Asuransi,israeni@mag.co.id,(021) 7250223,Pengembangan,(021) 2700590
PT. Bima Registra,Pengelola & Pengembang Real Estat,info@mbagroup.id,(62-21) 2119 1008,Utama,(62-21) 2119 2888
PT. Datindo Entrycom,Bank,corsec@amarbank.co.id,(031) 9901595,Pengembangan,(031) 99015959
PT. Datindo Entrycom,Produk & Perlengkapan Bangunan,adimulya.sukmana@agc.com,"021-6919245, 6918820",Utama,(021) 6904041 ext 1042
PT. Adimitra Jasa Korpora,Mesin,corsec@atmindo.co.id,(061) 794 7755,Pengembangan,(061) 794 7751
PT. Adimitra Jasa Korpora,Produk Makanan Pertanian,corsec@agungmm.com,021-29023180,Akselerasi,(021)-29023178
PT. Datindo Entrycom,Jasa Investasi,cosec.indonesia@ashmoregroup.com,(021) 2953 9001,Pengembangan,(021) 2953 9000
PT. Datindo Entrycom,Produk Makanan Pertanian,corpsec@andiraagro.com,218564956,Pengembangan,218564955
PT. Datindo Entrycom,Produk Makanan Pertanian,corsec@anj-group.com ,(62-21) 2965 1788 ,Utama,(62-21) 2965 1777
PT. Datindo Entrycom,Logam & Mineral,corsec@antam.com,021-7812822,Utama,021-7805119
PT. Adimitra Jasa Korpora,"Pendukung Minyak, Gas & Batu Bara",info@apexindo.coom,(021) 29333111,Pengembangan,(021) 29333000
PT. Sinartama Gunita,Perusahaan Holding & Investasi,corpsec@apic.co.id, 021-39502901,Pengembangan, 021-39502900
